,#,title,subject,start_date,year,page_views_nov_2015,notes_to_self,year_1_mores,Unnamed: 8
0,1,"Denk bloß nicht, ich heule","CA, 1990-",30 September,2012‎,83,film,,
1,2,Charles Duncan (GC),"BDP, M",19 November,2007‎,48,mil,,
2,3,USS Clamour (AM-160),HIST,16 July,2007,72,MIL,,
3,4,Fire: The Jimi Hendrix Collection,"CA, 1991+",7 June,2010‎,367,pop music,,
4,5,Anthony McFarland,"BLP, M",1 January,2006‎,4887,sport,,
5,5,Dearborn-Massar,"CA, 1990-",12 August,2015‎,55,art (photos),,
6,6,Pot-in-pot,BUS,31 December,2005‎,135,other (ag),,
7,7,Zhang Taofang,"BDP, M",14 July,2008‎,2241,mil,,
8,8,Coleophora impercepta,BHM,15 June,2011‎,29,,,
9,9,"Jawornik, Sanok County","GEO, E",9 October,2008‎,49,EE POL,,
10,10,Nové Mlýny reservoirs,"GEO, E",4 January,2011‎,124,EE CZ,,
11,11,Všešportový areál,SOC,4 February,2006‎,132,sport,,
12,12,Zashiversk,"GEO, E",9 July,2006‎,146,FSU RUS,,
13,13,Sculptor Galaxy,SCI,12 September,2004‎,1423,,,
14,14,Valea Celții River,"GEO, E",11 December,2007‎,18,EE ROM,,
15,15,Silver-throated bushtit,BHM,3 May,2012‎,83,bird,,
16,16,Xavier University Bhubaneswar,SOC,3 November,2015‎,167,school,,
17,17,Louis Tussaud,"BDP, M",14 May,2006‎,565,bus,,
18,18,Joseph Ginat,"BDP, M",11 February,2011‎,83,gov,,
19,19,Lichnowo,"GEO, E",7 January,2009‎,23,EE POL,,
20,20,I Want Your Soul,"CA, 1991+",3 October,2007‎,339,pop music,,
21,21,Bolnisi inscriptions,"CA, 1990-",13 November,2014‎,109,other,,
22,22,Some Stupid with a Flare Gun,"CA, 1991+",30 June,2014‎,179,pop music,,
23,23,Tamil Mirror,BUS,22 April,2012‎,106,media,,
24,24,David Womark,"BLP, M",17 June,2014‎,175,film,,
25,25,Gmina Zakroczym,"GEO, E",2 January,2008‎,61,EE POL,,
26,26,Tadaoka Station,"GEO, E",19 June,2008‎,61,ASIA JAP,,
27,27,Cass Business School,SOC,20 March,2005‎,3310,school,,
28,28,Lane,SOC,1 June,2004‎,6672,other,,
29,29,Hmong Today,BUS,18 March,2012‎,92,media,,
