category,title
Music,The Dark Side of the Moon
Warfare,Bombing of Yawata (June 1944)
Culture and society,W. E. B. Du Bois
Health and medicine,Ryan White
Physics and astronomy,Earth-grazing meteoroid of 13 October 1990
Education,United States Military Academy
"Religion, mysticism and mythology",Orion (mythology)
Politics and government,George F. Kennan
"Art, architecture, and archaeology",From The Doctor to my son Thomas
Geography and places,"Briarcliff Manor, New York"
Mathematics,Georg Cantor
Media,Through the Looking Glass (Lost)
Biology,Cell nucleus
History,Carsten Borchgrevink
Sport and recreation,"Second Test, 1948 Ashes series"
"Art, architecture, and archaeology",Homer Davenport
Media,Gertie the Dinosaur
"Religion, mysticism and mythology",Hygeberht
Physics and astronomy,Niels Bohr
Mathematics,Polar coordinate system
Sport and recreation,Sandy Koufax
Music,"Jesus nahm zu sich die Zwölfe, BWV 22"
Engineering and technology,Rampart Dam
"Business, economics, and finance",Finn M. W. Caspersen
Video gaming,Halo 2
Sport and recreation,Henrik Sedin
Music,The Kinks
Warfare,Tôn Thất Đính
Transport,Creek Turnpike
Warfare,Battle of Grand Port
Biology,Drosera regia
History,Ming dynasty
Royalty and nobility,Ranavalona I
Politics and government,"United States Senate election in California, 1950"
Politics and government,Gerald Ford
Biology,Cockatoo
Biology,Tasmanian devil
Media,Episode 2 (Twin Peaks)
Media,Nightswimming (Awake)
Transport,U.S. Route 23 in Michigan
Warfare,Prince Louis of Battenberg
Biology,Agaricus deserticola
"Religion, mysticism and mythology",Congregation Baith Israel Anshei Emes
"Religion, mysticism and mythology",Priestley Riots
"Religion, mysticism and mythology",Augustine of Canterbury
Sport and recreation,Nashville Sounds
History,Convention of 1832
"Art, architecture, and archaeology",St Cuthbert Gospel
Video gaming,Deathrow (video game)
"Art, architecture, and archaeology",Preparing for a Fancy Dress Ball
History,Kingdom of Mysore
Video gaming,Kingdom Hearts (video game)
Physics and astronomy,Enrico Fermi
"Religion, mysticism and mythology",George Went Hensley
Biology,Superb fairywren
Chemistry and mineralogy,Titanium
Biology,Red-capped robin
Biology,Snoring rail
Computing,OpenBSD
Royalty and nobility,Attalus I
Sport and recreation,2009 International Bowl
Biology,Geastrum quadrifidum
Biology,Lemurs of Madagascar (book)
Sport and recreation,Ian Craig
Physics and astronomy,Solar eclipse
"Art, architecture, and archaeology",Britomart Redeems Faire Amoret
Media,Nikki and Paulo
Media,Steve Dodd
Warfare,Peresvet-class battleship
Warfare,Henry Burrell (admiral)
Meteorology,Hurricane Debbie (1961)
Geography and places,Nathu La
Sport and recreation,Michael Jordan
Politics and government,Joseph B. Foraker
Video gaming,Mass Effect 2
Engineering and technology,Apollo 8
Sport and recreation,2007 ACC Championship Game
"Religion, mysticism and mythology",Nigel (bishop of Ely)
Literature and theatre,Liber Eliensis
Culture and society,Same-sex marriage in Spain
Meteorology,Hurricane Nora (1997)
Health and medicine,Thyrotoxic periodic paralysis
Sport and recreation,1924 Rose Bowl
"Art, architecture, and archaeology",Makinti Napanangka
Warfare,Battle of Ceresole
"Art, architecture, and archaeology",Blakeney Chapel
Warfare,War against Nabis
Warfare,Battleship
Biology,Dermotherium
Sport and recreation,Kevin O'Halloran
Warfare,Battle of Red Cliffs
Video gaming,Mana (series)
Video gaming,Menacer
Video gaming,Marble Madness
Literature and theatre,Wonder Stories
Warfare,Operation Kita
Geography and places,Blakeney Point
Sport and recreation,2009 Lamar Hunt U.S. Open Cup Final
Warfare,No. 79 Squadron RAAF
"Religion, mysticism and mythology","Temple Israel (Memphis, Tennessee)"
"Religion, mysticism and mythology",Robert Burnell
Warfare,AMX-30E
Royalty and nobility,Cædwalla of Wessex
Sport and recreation,No Way Out (2004)
Warfare,Battle of The Cedars
Literature and theatre,Richard Hakluyt
Biology,Frigatebird
"Business, economics, and finance",Louisiana Purchase Exposition dollar
Sport and recreation,Harold Larwood
Politics and government,Margaret Lea Houston
Sport and recreation,Arthur Morris
Transport,SS Minnesotan
"Religion, mysticism and mythology",Ruth Norman
Music,Faryl
"Business, economics, and finance",Indian Head cent
Warfare,Fred Moosally
Transport,Manchester Ship Canal
Biology,Willie wagtail
History,Treaty of Devol
Sport and recreation,Duncan Edwards
Royalty and nobility,Domitian
Literature and theatre,The Temple at Thatch
Warfare,USS Constellation vs L'Insurgente
Warfare,Cedric Howell
Warfare,Valston Hancock
"Religion, mysticism and mythology",Roman Catholic Archdiocese of Miami
History,Katyn massacre
Politics and government,Józef Piłsudski
Chemistry and mineralogy,Nicotinamide adenine dinucleotide
"Business, economics, and finance",Lincoln cent
History,Menkauhor Kaiu
Biology,Epacris impressa
Geography and places,Carrington Moss
Literature and theatre,Make Way for Ducklings
Physics and astronomy,Sun
Music,Stereolab
Physics and astronomy,Saturn
Geography and places,Cheadle Hulme
Music,Still Reigning
"Business, economics, and finance",Indian Head eagle
Law,Murder of Joanna Yeates
Transport,Talyllyn Railway
Politics and government,Keen Johnson
Sport and recreation,IFK Göteborg
Literature and theatre,Mary: A Fiction
Biology,Oryzomys dimidiatus
Royalty and nobility,Æthelstan A
Literature and theatre,Uncle Tom's Cabin
Warfare,Sieges of Taunton
Media,Rudolph Cartier
Law,Sherman Minton
History,King Arthur
"Religion, mysticism and mythology",Bonshō
Media,Emma Watson
Transport,New York State Route 22
Biology,Bharattherium
Biology,Evolution of lemurs
Royalty and nobility,Edward VIII
Language and linguistics,Tamil language
Music,Ellis Paul
Warfare,Andrea Doria-class battleship
Literature and theatre,Singin' and Swingin' and Gettin' Merry Like Christmas
Media,Lost: Missing Pieces
"Art, architecture, and archaeology",Scottish Parliament Building
Literature and theatre,Harvey Kurtzman's Jungle Book
Video gaming,Defense of the Ancients
Media,Abbas Kiarostami
"Business, economics, and finance",Panama–Pacific commemorative coins
Music,Nikolai Rimsky-Korsakov
"Art, architecture, and archaeology",Brougham Castle
Transport,Interstate 15 in Arizona
Geography and places,Tiruchirappalli
Music,Arnold Bax
Literature and theatre,A Song for Simeon
History,Slavery in ancient Greece
Music,Andrew Johnston (singer)
Literature and theatre,Themes in Maya Angelou's autobiographies
Politics and government,Neville Chamberlain
Biology,Allosaurus
Warfare,7th Army (Kingdom of Yugoslavia)
Music,Strapping Young Lad
Video gaming,Final Fantasy X
Law,Smith Act trials of Communist Party leaders
Literature and theatre,The Red Badge of Courage
Geography and places,Metacomet Ridge
Biology,Rufous-crowned sparrow
"Art, architecture, and archaeology",Palmyra
Warfare,Design 1047 battlecruiser
Music,Adore (The Smashing Pumpkins album)
Engineering and technology,Shoe polish
Media,Michael Tritter
Media,Parks and Recreation (season 1)
Law,Ordinances of 1311
Media,The Man Trap
Media,Sunderland Echo
History,Olga Constantinovna of Russia
History,Suleiman the Magnificent
Geography and places,Bull Run River (Oregon)
Biology,Exosome complex
Biology,Daspletosaurus
Biology,Invisible rail
Culture and society,Wife selling (English custom)
"Business, economics, and finance",Stone Mountain Memorial half dollar
Warfare,Paul Tibbets
Chemistry and mineralogy,Iridium
Sport and recreation,Hugh Trumble
History,Wail al-Shehri
Sport and recreation,Scotland national football team
Video gaming,Tales of Monkey Island
Media,Rani Mukerji
Transport,New York State Route 373
Sport and recreation,Don Bradman
Engineering and technology,Scout Moor Wind Farm
Music,Pixies
Warfare,Harry Murray
Warfare,Werner Mölders
Warfare,24th Waffen Mountain Division of the SS Karstjäger
Geography and places,Ratanakiri Province
Warfare,William Brill (RAAF officer)
Biology,Thoroughbred
Politics and government,Emma Goldman
Sport and recreation,Clem Hill
"Art, architecture, and archaeology",Pierre Rossier
History,Manchester Mummy
Transport,SECR K and SR K1 classes
Royalty and nobility,"Prince William, Duke of Gloucester"
Literature and theatre,Chinua Achebe
Transport,"Albert Stanley, 1st Baron Ashfield"
History,Abu Nidal
"Art, architecture, and archaeology",Chicago Board of Trade Building
Literature and theatre,Amazing Stories
Sport and recreation,History of the New York Yankees
Literature and theatre,Western Chalukya literature in Kannada
Video gaming,The Legend of Zelda: Oracle of Seasons and Oracle of Ages
Physics and astronomy,Rings of Uranus
"Religion, mysticism and mythology",John de Gray
"Art, architecture, and archaeology",Three Beauties of the Present Day
Warfare,Yamato-class battleship
Music,Sgt. Pepper's Lonely Hearts Club Band
"Religion, mysticism and mythology",Xenu
Chemistry and mineralogy,Ununoctium
Physics and astronomy,Grus (constellation)
Music,Messiah (Handel)
Biology,Transandinomys
Literature and theatre,Murasaki Shikibu
Warfare,Japanese battleship Yamashiro
Music,Benjamin Britten
Politics and government,George Lansbury
History,Ehime Maru and USS Greeneville collision
Literature and theatre,Watchmen
Video gaming,Empires: Dawn of the Modern World
Video gaming,32X
"Art, architecture, and archaeology",Oregon State Capitol
Sport and recreation,Jonathan Agnew
Music,Imagine (John Lennon song)
Meteorology,Cyclone Orson
Music,Enter the Wu-Tang (36 Chambers)
Geography and places,Geography and ecology of the Everglades
Media,Julianne Moore
Chemistry and mineralogy,Diamond
Music,Gwen Stefani
Biology,Banded sugar ant
Royalty and nobility,Aldfrith of Northumbria
Biology,RNA interference
Media,Sardines (Inside No. 9)
Biology,Red-backed fairywren
Geography and places,Muckaty Station
Meteorology,Hurricane Daniel (2006)
Politics and government,Richard Cordray
Warfare,Kaiser-class battleship
Warfare,Neil Hamilton Fairley
Biology,King Island emu
Geography and places,Geography of Ireland
Literature and theatre,School Rumble
Warfare,König-class battleship
"Art, architecture, and archaeology","Maiden Castle, Dorset"
Music,Insane Clown Posse
Geography and places,North Norfolk Coast Site of Special Scientific Interest
Transport,American Airlines Flight 77
Sport and recreation,2008 Japanese Grand Prix
Transport,MTR
Physics and astronomy,Telescopium
"Art, architecture, and archaeology",Palazzo Pitti
Engineering and technology,Webley Revolver
"Art, architecture, and archaeology",Trump International Hotel and Tower (Chicago)
Education,United States Academic Decathlon
Biology,Eurasian blackcap
Warfare,USS Orizaba (ID-1536)
Meteorology,Hurricane Lenny
"Heraldry, honors, and vexillology",Flag of Singapore
Politics and government,Edwin P. Morrow
"Heraldry, honors, and vexillology",Victoria Cross (Canada)
Warfare,SMS Thüringen
Warfare,Landing at Nadzab
Biology,Banksia brownii
Physics and astronomy,Speed of light
Culture and society,Dorset Ooser
Media,No Such Thing as Vampires
Politics and government,United Nations Parliamentary Assembly
Warfare,SMS Hindenburg
Geology and geophysics,Cerro Azul (Chile volcano)
Physics and astronomy,Aries (constellation)
Biology,Crescent honeyeater
Biology,Gorgosaurus
Warfare,Structural history of the Roman military
Sport and recreation,Sid Barnes
"Art, architecture, and archaeology",Saint Francis Receiving the Stigmata (van Eyck)
"Art, architecture, and archaeology",El Lissitzky
Warfare,Walter Krueger
Literature and theatre,W. S. Gilbert
Music,Richard Wagner
Warfare,Arena (countermeasure)
Media,Pilot (Smallville)
Geography and places,Canberra
Culture and society,Liberty Bell
Biology,Red-billed chough
Warfare,Australian contribution to the Battle of Normandy
Physics and astronomy,Kreutz sungrazer
Engineering and technology,Science and technology of the Song dynasty
Warfare,Courageous-class aircraft carrier
Music,Jimi Hendrix
Politics and government,William Goebel
Music,Hey Jude
Warfare,Edwin Taylor Pollock
Physics and astronomy,Cygnus X-1
Biology,Forest raven
"Business, economics, and finance",American Arts Commemorative Series medallions
Sport and recreation,Harry Trott
Biology,Przevalski's nuthatch
Biology,Black vulture
"Art, architecture, and archaeology",Sicilian Baroque
Literature and theatre,Nebula Science Fiction
Transport,Ontario Highway 71
Warfare,No. 38 Squadron RAAF
Biology,Oryzomys couesi
Geography and places,Titchwell Marsh
Media,Preity Zinta
Royalty and nobility,"Hannah Primrose, Countess of Rosebery"
Sport and recreation,Avery Brundage
"Art, architecture, and archaeology",Freedom of Worship (painting)
Geography and places,Nevado del Ruiz
Literature and theatre,Gods' Man
Media,Rob-B-Hood
Biology,Noisy miner
Sport and recreation,Percy Fender
Music,My Happiness (Powderfinger song)
History,Natchez revolt
Literature and theatre,Dan Leno
Media,Fight Club
Warfare,Convoy GP55
Warfare,Operation Brevity
Sport and recreation,Dave Gallaher
Sport and recreation,History of Stoke City F.C.
Warfare,Battle of Kaiapit
History,Dick Turpin
Media,Animaniacs
Literature and theatre,Louis Riel (comics)
Biology,Bohemian waxwing
Biology,Common blackbird
Culture and society,Bob Marshall (wilderness activist)
Biology,Astraeus hygrometricus
Warfare,USS Iowa turret explosion
Meteorology,1941 Atlantic hurricane season
Warfare,Armed Forces Special Weapons Project
Geography and places,Alanya
Law,Edward VIII abdication crisis
Media,Fresh Blood (Supernatural)
Biology,Chrysiridia rhipheus
Sport and recreation,Hockey Hall of Fame
Warfare,"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope"
Video gaming,Ico
Sport and recreation,Australia at the Winter Olympics
Media,noitulovE
Music,Electra Heart
Media,The Truth (The X-Files)
Sport and recreation,Youngstown Ohio Works
Biology,Red rail
Video gaming,Batman: Arkham City
"Art, architecture, and archaeology",Millennium Park
Transport,Great North of Scotland Railway
Media,The Wire
Video gaming,Flotilla (video game)
Literature and theatre,Scientific Detective Monthly
History,Hugh de Neville
Computing,Scene7
Geography and places,Yosemite National Park
Computing,Rosetta@home
Media,Confirmed Dead
Warfare,Dutch 1913 battleship proposal
"Art, architecture, and archaeology",Egyptian temple
Media,Sesame Workshop
Sport and recreation,Ian Johnson (cricketer)
Literature and theatre,George Herriman
Geography and places,Nico Ditch
Music,Rinaldo (opera)
Warfare,"Manuel Marques de Sousa, Count of Porto Alegre"
Music,Maya (M.I.A. album)
"Art, architecture, and archaeology",Exelon Pavilions
Media,Quatermass and the Pit
Warfare,Battle of Villers-Bocage
Sport and recreation,Miss Meyers
Culture and society,Wonderbra
Engineering and technology,History of timekeeping devices
Warfare,HMS Calliope (1884)
Literature and theatre,A Contract with God
Sport and recreation,Yukon Quest
"Religion, mysticism and mythology",Problem of religious language
Sport and recreation,2010 Lamar Hunt U.S. Open Cup Final
Biology,Entoloma sinuatum
Media,Homicide: Life on the Street (season 2)
"Religion, mysticism and mythology",Congregation Beth Elohim
Warfare,22nd Regiment Massachusetts Volunteer Infantry
Royalty and nobility,Augustus
"Business, economics, and finance",Liberty Head nickel
Music,Audioslave
Meteorology,Typhoon Gay (1992)
Biology,Broad-billed parrot
Media,Sonic X
"Art, architecture, and archaeology",Belton House
Health and medicine,Icos
Warfare,Gudovac massacre
Meteorology,Typhoon Maemi
Music,Mother's Milk
Transport,Boeing 777
Transport,New York State Route 174
Literature and theatre,Jean-Joseph Rabearivelo
Sport and recreation,Leg before wicket
Biology,Flocke
Music,Joseph Szigeti
Warfare,Operation Camargue
Media,Nancy Cartwright
Biology,Pygmy hippopotamus
Video gaming,New Super Mario Bros.
Biology,Painted turtle
Physics and astronomy,Dwarf planet
Music,Love. Angel. Music. Baby.
"Art, architecture, and archaeology",William Burges
Video gaming,Infinity Blade
"Art, architecture, and archaeology",Tech Tower
"Art, architecture, and archaeology",The Combat: Woman Pleading for the Vanquished
Literature and theatre,Little Tich
"Religion, mysticism and mythology",George Fox
Literature and theatre,W. B. Yeats
Warfare,Attack on Sydney Harbour
Literature and theatre,"Oliver Wendell Holmes, Sr."
Music,David Bowie
"Art, architecture, and archaeology","St Helen's Church, Ashby-de-la-Zouch"
Biology,Appaloosa
Warfare,Battle of Malvern Hill
Warfare,Jesse L. Brown
Biology,Peregrine falcon
Engineering and technology,Renewable energy in Scotland
Transport,Capon Lake Whipple Truss Bridge
Politics and government,Ngo Dinh Diem presidential visit to Australia
Warfare,Port Chicago disaster
Video gaming,Capcom Five
Royalty and nobility,Manuel I Komnenos
Politics and government,John J. Crittenden
Politics and government,Louie B. Nunn
Sport and recreation,Margate F.C.
Royalty and nobility,George IV of the United Kingdom
Literature and theatre,In Our Time (short story collection)
Literature and theatre,Mary Martha Sherwood
Biology,Perovskia atriplicifolia
Literature and theatre,Vijayanagara literature in Kannada
Warfare,ARA Moreno
Warfare,William Bostock
Geography and places,Willamette River
Politics and government,Richard Gavin Reid
Biology,Thopha saccata
Health and medicine,Management of multiple sclerosis
Music,Are You Experienced
Media,? (film)
"Art, architecture, and archaeology",Portrait of a Young Girl (Christus)
Royalty and nobility,Richard II of England
Video gaming,Thief II
Sport and recreation,The Boat Race 2012
Geography and places,Craters of the Moon National Monument and Preserve
Meteorology,2003 Pacific hurricane season
Culture and society,E. Urner Goodman
Literature and theatre,The Phantom Tollbooth
Biology,Olm
Sport and recreation,History of the National Hockey League (1942–67)
Literature and theatre,The Raven
Music,Kellie Loder
Biology,On the Origin of Species
Sport and recreation,2006 Chick-fil-A Bowl
Politics and government,Mitt Romney
History,Song dynasty
Meteorology,Hurricane Isabel
Geography and places,Nauru
Sport and recreation,Jarome Iginla
Music,Paul McCartney
History,Convention of 1833
