title,timestamp,anon,comment,minor,revid,rollbacktoken,text,user
"Denk bloß nicht, ich heule",2012-12-31,0.0,"Removed inappropriate navbox per [[WP:MOSFILM]], [[WP:NAVBOX]] and [[Wikipedia talk:WikiProject Film#National cinema navigation templates]]",0.0,522742492,,,Aspects
"Denk bloß nicht, ich heule",2013-12-31,0.0,/* External links */Added category using [[Project:AWB|AWB]],1.0,560321500,,,Fortdj33
"Denk bloß nicht, ich heule",2014-12-31,,,,686603380,,,
"Denk bloß nicht, ich heule",2015-12-31,1.0,,0.0,686603380,,,87.122.119.112
Charles Duncan (GC),2007-12-31,0.0,/* References */ addcat,0.0,175987861,,,Kingbird1
Charles Duncan (GC),2008-12-31,0.0,/* References */ {{UK-army-bio-stub}},0.0,239621463,,,Kingbird1
Charles Duncan (GC),2009-12-31,0.0,Robot - Moving category British George Cross recipients to British recipients of the George Cross per [[WP:CFD|CFD]] at [[Wikipedia:Categories for discussion/Log/2009 September 5]].,1.0,313703549,,,Cydebot
Charles Duncan (GC),2010-12-31,0.0,/* References */[[WP:CHECKWIKI]] error 61 fixes + [[WP:GENFIXES|general fixes]] using [[Project:AWB|AWB]] (7504),1.0,404155773,,,Yobot
Charles Duncan (GC),2011-12-31,0.0,moved [[Charles Alfred Duncan]] to [[Charles Duncan (GC)]],1.0,464859126,,,Necrothesp
Charles Duncan (GC),2012-12-31,0.0,adding infobox,0.0,524946765,,,Gbawden
Charles Duncan (GC),2013-12-31,0.0,"[[WP:AWB/T|Typo fixing]], [[WP:AWB/T|typos fixed]]: self sacrifice → self-sacrifice using [[Project:AWB|AWB]]",1.0,572612587,,,Bender235
Charles Duncan (GC),2014-12-31,0.0,/* References */add persondata short description using [[Project:AWB|AWB]],0.0,612131380,,,Waacstats
Charles Duncan (GC),2015-12-31,,,,713048472,,,
USS Clamour (AM-160),2007-12-31,0.0,minor cleanup fixing minor formattings,0.0,175377676,,,Malo
USS Clamour (AM-160),2008-12-31,0.0,Date audit per [[wp:mosnum|mosnum]]/[[wp:overlink|overlink]]/Other  using [[Project:AutoWikiBrowser|AWB]],0.0,251943918,,,Lightmouse
USS Clamour (AM-160),2009-12-31,0.0,[[WP:RBK|Reverted]] edits by [[Special:Contributions/Mark Preston|Mark Preston]] ([[User talk:Mark Preston|talk]]) to last version by XLinkBot,1.0,306276198,,,Beetstra
USS Clamour (AM-160),2010-12-31,0.0,([[WP:BOT|Bot]]; [[User:EarwigBot#Task 17|Task 17]]): Removing [[File:No Photo Available.svg]] from {{[[Template:Infobox ship image|Infobox ship image]]}}.,1.0,359496891,,,EarwigBot
USS Clamour (AM-160),2011-12-31,,,,539387248,,,
USS Clamour (AM-160),2012-12-31,,,,539387248,,,
USS Clamour (AM-160),2013-12-31,0.0,Robot - Speedily moving category Admirable class minesweepers to [[:Category:Admirable-class minesweepers]] per [[WP:CFDS|CFDS]].,1.0,539387248,,,Cydebot
USS Clamour (AM-160),2014-12-31,,,,685371234,,,
USS Clamour (AM-160),2015-12-31,0.0,[[User:Monkbot/Task 9: Ship infobox lists|Task 9]]: convert line-break list(s) to unordered list(s) in ship infobox templates;,1.0,685371234,,,Monkbot
Fire: The Jimi Hendrix Collection,2010-12-31,0.0,Removed [[:Category:Jimi Hendrix albums]]; Adding category [[:Category:Jimi Hendrix compilation albums]] (using [[WP:HOTCAT|HotCat]]),1.0,371145146,,,Koavf
Fire: The Jimi Hendrix Collection,2011-12-31,1.0,/* References */ sanitize affiliate links,0.0,447095014,,,99.164.32.24
Fire: The Jimi Hendrix Collection,2012-12-31,,,,546577129,,,
Fire: The Jimi Hendrix Collection,2013-12-31,0.0,Disambiguated: [[CMG]] → [[CMG Records]] (2),0.0,546577129,,,LittleWink
Fire: The Jimi Hendrix Collection,2014-12-31,,,,696281227,,,
Fire: The Jimi Hendrix Collection,2015-12-31,0.0,/* References */,0.0,696281227,,,GregK123
Anthony McFarland,2006-12-31,1.0,,0.0,92464960,,,131.96.146.99
Anthony McFarland,2007-12-31,0.0,/* External links */  - added navbox,1.0,172634100,,,Masonpatriot
Anthony McFarland,2008-12-31,1.0,,0.0,259552420,,,70.135.34.46
Anthony McFarland,2009-12-31,0.0,Unlinking full-dates. [[User:Full-date unlinking bot|Details here]]. Codes: AMreg(×1),1.0,329865924,,,Full-date unlinking bot
Anthony McFarland,2010-12-31,0.0,Information was added.,1.0,402756793,,,Just6ntlc
Anthony McFarland,2011-12-31,0.0,Updated infobox (BRFA 15) using [[Project:AWB|AWB]] (7784),1.0,440030758,,,Yobot
Anthony McFarland,2012-12-31,1.0,,0.0,526087862,,,108.9.13.163
Anthony McFarland,2013-12-31,0.0,,0.0,582102029,,,Yankees10
Anthony McFarland,2014-12-31,1.0,,0.0,632229856,,,170.20.219.172
Anthony McFarland,2015-12-31,0.0,No referenes,0.0,696715498,,,Nyttend
Dearborn-Massar,2015-12-31,0.0,added [[Category:Modernist architecture in the United States]] using [[WP:HC|HotCat]],0.0,675813099,,,Alafarge
Pot-in-pot,2005-12-31,0.0,,1.0,33403432,,,Maxwahrhaftig
Pot-in-pot,2006-12-31,0.0,sp: refridgerator→refrigerator,1.0,74811533,,,CmdrObot
Pot-in-pot,2007-12-31,0.0,[[WP:UNDO|Undid]] revision 149454369 by [[Special:Contributions/EnochHeath|EnochHeath]] ([[User talk:EnochHeath|talk]]),0.0,149484141,,,Hardyplants
Pot-in-pot,2008-12-31,0.0,Marked as unreferenced.,1.0,251051168,,,Rosiestep
Pot-in-pot,2009-12-31,0.0,[[WP:CHECKWIKI|Check Wikipedia]] cleanup (HTML <b> → wiki ''') + [[WP:GENFIXES|gen. fixes]],1.0,314781949,,,DrilBot
Pot-in-pot,2010-12-31,0.0,[[WP:CHECKWIKI]] error fixes + [[WP:GENFIXES|genfixes]] using [[Project:AWB|AWB]] (7383),1.0,396306013,,,Yobot
Pot-in-pot,2011-12-31,,,,544247231,,,
Pot-in-pot,2012-12-31,,,,544247231,,,
Pot-in-pot,2013-12-31,0.0,"[[User:Addbot|Bot:]] Migrating 2 interwiki links, now provided by [[Wikipedia:Wikidata|Wikidata]] on [[d:q3890526]]",1.0,544247231,,,Addbot
Zhang Taofang,2008-12-31,0.0,Units/dates/other,0.0,239287344,,,Lightbot
Zhang Taofang,2009-12-31,1.0,,0.0,321159992,,,203.125.155.4
Zhang Taofang,2010-12-31,0.0,/* References */Adding Persondata using [[Project:AWB|AWB]] (7245),1.0,390867329,,,RjwilmsiBot
Zhang Taofang,2011-12-31,0.0,,0.0,466921464,,,H.b.sh
Zhang Taofang,2012-12-31,0.0,persondata,1.0,521961772,,,Waacstats
Zhang Taofang,2013-12-31,0.0,,1.0,564200927,,,Victorkkd
Zhang Taofang,2014-12-31,0.0,,0.0,619040023,,,Mike Searson
Zhang Taofang,2015-12-31,0.0,"cleanup, replaced: Mosin-Nagant → Mosin–Nagant (2) using [[Project:AWB|AWB]]",1.0,694258569,,,Faceless Enemy
Coleophora impercepta,2011-12-31,0.0,[[WP:AES|←]]Created page with '{{italic title}} {{Taxobox | name = Coleophora impercepta | image =  | image_width = 200px | image_caption =  | regnum = [[Animal]]ia | phylum = [[Arthropod]]a | cl...',0.0,434387366,,,Ruigeroeland
Coleophora impercepta,2012-12-31,,,,637083137,,,
Coleophora impercepta,2013-12-31,,,,637083137,,,
Coleophora impercepta,2014-12-31,0.0,Added sortkey,0.0,637083137,,,AzseicsoK
Coleophora impercepta,2015-12-31,,,,711637245,,,
"Jawornik, Sanok County",2008-12-31,0.0,bot: standardizing,0.0,244109755,,,Kotbot
"Jawornik, Sanok County",2009-12-31,0.0,Replacing {{IPAr|pl}} with {{IPAc-pl}} per [[User:AnomieBOT/req/Template:IPAr|request]]. Errors or discussion? Post a note [[User:AnomieBOT/shutoff/TemplateReplacer15|here]] to stop the bot.,1.0,328624161,,,AnomieBOT
"Jawornik, Sanok County",2010-12-31,0.0,update to remove from dab list,0.0,375642332,,,Ulric1313
"Jawornik, Sanok County",2011-12-31,,,,477738759,,,
"Jawornik, Sanok County",2012-12-31,1.0,,0.0,477738759,,,87.210.232.221
"Jawornik, Sanok County",2013-12-31,0.0,"[[User:Addbot|Bot:]] Migrating 2 interwiki links, now provided by [[Wikipedia:Wikidata|Wikidata]] on [[d:q5191543]]",1.0,543187360,,,Addbot
Nové Mlýny reservoirs,2011-12-31,0.0,Adding geodata: {{coord|48|54|10|N|16|37|15|E|region:CZ_type:landmark_source:kolossus-cswiki|display=title}},0.0,465206015,,,The Anomebot2
Nové Mlýny reservoirs,2012-12-31,0.0,removing redlinks,0.0,526738810,,,Cloudz679
Nové Mlýny reservoirs,2013-12-31,0.0,/* References */[[WP:CHECKWIKI]] error fixes / special characters in pagetitle using [[Project:AWB|AWB]] (9485),1.0,573278986,,,Yobot
Nové Mlýny reservoirs,2014-12-31,0.0,"/* References */copyedit, refine cat, and AWB general fixes using [[Project:AWB|AWB]]",1.0,600553947,,,Hmains
Nové Mlýny reservoirs,2015-12-31,0.0,added [[Category:Nové Mlýny Reservoirs]] using [[WP:HC|HotCat]],0.0,645897072,,,Ykvach
Všešportový areál,2006-12-31,0.0,Stub-sorting. [[Wikipedia:WikiProject Stub sorting|You can help!]],1.0,57792354,,,Fuzzy510
Všešportový areál,2007-12-31,0.0,stub sort,1.0,149324396,,,Waacstats
Všešportový areál,2008-12-31,0.0,,0.0,229433949,,,Das Baz
Všešportový areál,2009-12-31,0.0,"remove Erik9bot category,outdated, tag and general fixes",1.0,332190454,,,SmackBot
Všešportový areál,2010-12-31,0.0,,1.0,385780715,,,Kajman87
Všešportový areál,2011-12-31,1.0,,0.0,459894917,,,217.41.226.15
Všešportový areál,2012-12-31,,,,547364571,,,
Všešportový areál,2013-12-31,0.0,added [[Category:Buildings and structures in Košice Region]] using [[WP:HC|HotCat]],0.0,547364571,,,Jllm06
Všešportový areál,2014-12-31,0.0,,0.0,631457177,,,Jolicnikola
